;Open;Close;High;Low;Vol;Log_returns;Amihud;LHH;LIX;VAR;VAR_21;MACD;EMA_21;MA_21
2020-08-19;1935.7;1895.0;1964.3;1895.0;-0.11254073034116108;-0.021250179634972888;1.5070608066824425e-07;32.3912204871612;7.2226519832117;0.0055626118397054765;0.023902518804923622;6.852397396868355;0.003979631529170247;0.009976374486529327
2020-08-20;1905.2;1928.8;1939.0;1928.8;0.07958540975096096;0.012311057940255665;1.1179951495151066e-07;25.52568651505536;8.095720035701012;0.0032174560222520006;0.023177648621988456;6.728748396542187;0.005289271802377371;0.00912474177083955
2020-08-21;1932.0;1913.8;1932.0;1913.8;0.433435372498574;-0.009464941427300921;1.4936957645169662e-07;17.597973196668494;7.99723628958822;0.006067532737137188;0.02299844894297442;6.541990000841679;0.0040389450117059855;0.007084531339850431
2020-08-24;1923.0;1921.0;1947.9;1921.0;-0.35758528183881777;-0.0010405828202229017;1.9220002979592485e-07;18.44019812971543;7.637001694555154;0.005132327986594299;0.022673563455669534;6.3656039646259615;0.004012769458148657;0.0061210972295182575
2020-08-25;1921.0;1938.8;1939.7;1938.8;-0.41395726567532;0.009223341202663882;1.7184604779605927e-07;15.439866235382972;8.884446397299216;0.003258791012318871;0.020479837351982628;6.229287671765178;0.004509423607296448;0.003500992536428882
2020-08-26;1949.8;1985.2;1988.0;1985.2;1.9109734398848657;0.017992861518115078;8.024957657839332e-08;17.552425193564133;8.86584037376627;0.006025754275724675;0.020718078056191004;6.209477235293207;0.006354408594922534;0.005130112832319789
2020-08-27;1977.8;1943.3;2004.2;1943.3;0.25094509972431567;-0.017597556965232464;9.957049155396823e-08;14.382701823832914;7.616354946833803;0.006305493022131759;0.02100276434430713;6.037790382267076;0.0037003599972897927;0.003035850038010768
2020-08-28;1962.0;2025.3;2036.0;2025.3;0.0181028726693091;0.03175347659062666;8.694191816102217e-08;17.13882022247229;8.39732963666835;0.005250504282222509;0.021921249451513004;6.090264351861379;0.007329009037595924;0.005484889130445536
2020-08-31;2032.0;2004.9;2084.5;2004.9;0.02336502804910312;-0.013426345513238402;1.1474038123187208e-07;21.14562607264628;7.5314342712838656;0.007795893555480911;0.02223527531131432;6.042291879424283;0.005631947592427133;0.003845753306455091
2020-09-01;2035.0;2049.3;2061.3;2049.3;-0.02335907135670645;0.007002452529218495;9.572219746575519e-08;10.014884782279006;8.352413837738771;0.006219695606545205;0.02213446519964163;6.093356479168051;0.007217278045870135;0.005011695603095445
2020-09-02;2030.2;1984.0;2043.0;1984.0;-0.387625784672571;-0.02301930150551268;9.721287767014012e-08;23.427214351449006;7.4336960958845815;0.004718569526498053;0.022355722057069045;5.91624157023557;0.00340980085763376;0.002209485796864863
2020-09-03;1969.0;1925.0;1969.9;1925.0;0.10010195144732648;-0.022599831917241353;1.4766219073126254e-07;18.29524580871995;7.580623767616403;0.00573635327002779;0.022219340016842067;5.563059359921681;0.00029397050488166876;-0.0005370529769656018
2020-09-04;1923.8;1932.0;1955.0;1932.0;0.030767273161316666;0.004253339053947869;1.5340540755020342e-07;16.458165260507005;7.88587928209442;0.005521663084758731;0.022248144304094983;5.249438898913013;0.0005987174043218246;-0.0007606204700143504
2020-09-07;1932.0;2005.5;2027.0;2005.5;1.1294963714404012;0.03733767043764491;7.254897239029852e-08;12.925303610845152;8.259661106828046;0.0060710423043202994;0.02358005789340754;5.160877599481637;0.004023155132656386;0.0019054541168612715
2020-09-08;2011.1;1948.1;2027.8;1948.1;-0.06799289177814305;-0.03182729745339863;1.1529272198939547e-07;17.073009262210725;7.6474490500173005;0.008594992202402632;0.024685337395583085;4.892244707663167;0.0009365623395536371;0.00032350721028939766
2020-09-09;1894.9;1911.0;1920.9;1911.0;1.4867758650868526;0.008460598564703936;7.860034215839544e-08;3.349570812371684;8.940558261279627;0.0057102599135629515;0.02167866192867288;4.529069901506773;-0.0008968664257740233;0.0024720697765581168
2020-09-10;1918.0;1916.9;1927.6;1916.9;-0.6603524677612852;-0.0005736785992693783;7.301636025131055e-08;5.633194770290781;8.439176912026543;0.002222810567142996;0.019270256746592905;4.209666534982944;-0.0005379128164014757;0.0008993838731674586
2020-09-11;1913.8;1917.5;1923.5;1917.5;-0.37705281267921376;0.0019314598962489882;1.5598338186197324e-07;6.634308474729819;8.484996583844266;0.002111620039933723;0.018925830342266033;3.9143949024269205;-0.00046097295020131046;0.0
2020-09-14;1929.3;1883.3;1930.5;1883.3;0.3273794329950832;-0.024131685608225872;6.958062065702952e-08;13.322304102499029;7.704385053583633;0.007228721311013885;0.019602494943149754;3.542285843817808;-0.002033211205646035;-0.00021487679989828923
2020-09-15;1884.0;1884.4;1896.0;1884.4;-0.09704833225886278;0.00021229168957770383;6.626705916271749e-08;5.194483146199882;8.269787156625016;0.0017111393737775287;0.018424218228016133;3.207193851594866;-0.0018001231292139597;-0.0018512684119388334
2020-09-16;1880.0;1896.0;1906.0;1896.0;-0.09338545853506541;0.008474626990971679;8.11814885385993e-08;6.89534454600033;8.29433306384691;0.0028466803688089078;0.018457233174875822;2.9355642636458015;-0.0010899000468610476;-0.0014681018177546967
2020-09-17;1874.0;1772.1;1888.7;1772.1;1.4241709195339225;-0.05590989981706862;3.005260680185838e-08;12.397889287957879;7.5828476431080585;0.005570525728200022;0.021615710860280586;2.3336839077715013;-0.006867817038610724;-0.0030115832008057453
2020-09-18;1775.9;1750.4;1778.2;1750.4;-0.030133283664540267;-0.014463003432886978;6.613426903729539e-08;5.719020261455119;8.186862532256946;0.004723279042128212;0.02146350200849149;1.744135547150563;-0.007322877756657076;-0.004384779114294357
2020-09-21;1744.8;1688.7;1744.8;1688.7;-0.01681560043519259;-0.03268093374932857;7.027554714605868e-08;12.335097606340852;7.858994644518222;0.008652879976907779;0.022330650253599267;1.0545264893712556;-0.009674343239284622;-0.005556954463091124
2020-09-22;1701.0;1659.6;1701.0;1659.6;-0.12061409262783152;-0.024639703937149093;6.263538313440809e-08;9.144374976774644;7.927587588969479;0.009147289899691017;0.022698051398124808;0.3762023574267914;-0.010294300731324646;-0.006489138017064411
2020-09-23;1631.9;1614.0;1657.0;1614.0;-0.04584630219354502;-0.011029410306994336;9.999402774270535e-08;7.7260208372721015;7.878637916476274;0.005937716652431696;0.0224300855538046;-0.33561999100083995;-0.011693847504678723;-0.00811567840125138
2020-09-24;1617.7;1694.0;1700.1;1694.0;0.10228449891172975;0.04608720887635087;6.942187367092457e-08;15.48882126919985;8.790080112760426;0.006189397997652514;0.024736826355122955;-0.7141825680560032;-0.006783691799521874;-0.007335659315052867
